Entity,Superclass(es),
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#概率论,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#概率,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#欧几里得几何,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#几何,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#泛函分析,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#分析,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散几何,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散数学	http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#几何,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散数学,http://www.w3.org/2002/07/owl#Thing,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#积分方程,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#微积分,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#组合学,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散数学,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#统计学,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#概率,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#罗巴切夫斯基几何,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#几何,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#群论,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#抽象代数,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#自动机和形式语言,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散数学,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#解析几何,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#几何,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#解析数论,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#数论,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#调和分析,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#分析,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#随机微分方程,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#数据分析,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#随机过程,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#概率,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#集合论,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#离散数学,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#高等代数,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#代数,
http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#黎曼几何,http://www.semanticweb.org/xiaoqi/ontologies/2026/3/math#几何,
http://www.w3.org/2000/01/rdf-schema#label,
http://www.w3.org/2001/XMLSchema#string,
